date,fetched_at,source_name,source_type,seller_name,seller_id,seller_url,page_type,category,priority,asin,is_pod,pod_type,pod_score,pod_reason,niche_primary,niche_secondary,niche_tags,niche_score,niche_reason,bsr_rank,bsr_category,category_ranks_raw,primary_bsr_rank,primary_bsr_category,sub_bsr_rank,sub_bsr_category,all_bsr_ranks,subcategory_rank_score,image_url,image_source,image_fixed,display_rank,display_order,products_in_source,previous_display_rank,display_rank_change,display_rank_pct_change,display_rank_velocity,display_percentile,rank,rank_basis,position,title,raw_title,title_source,title_fixed,detail_page_status,detail_title_found,detail_image_found,detail_error,detail_bsr_found,detail_bsr_error,price,price_display,rating,review_count,review_rating,bought_past_month,badge,sponsored,product_url,page_url
2026-06-16,2026-06-16T10:25:43+00:00,Lim Nature (WP),seller,Lim Nature (WP),A1JK5EDV3DM6K,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank,seller,Lim Nature (WP),1,B0H1LGDY94,yes,custom_doormat,120,"+70 custom/personalized/engraved: personalized, custom; +25 strong POD: name; +10 POD product type: doormat; +15 quote/funny/text: text; score=120; is_pod=yes; pod_type=custom_doormat",4th of July,Custom Doormat,4th of July;Custom Doormat;Anniversary;Family,95,fourth of july + usa,71744,"Patio, Lawn & Garden","#71,744 in Patio, Lawn & Garden; #553 in Outdoor Doormats",71744,"Patio, Lawn & Garden",553,Outdoor Doormats,"#71,744 in Patio, Lawn & Garden; #553 in Outdoor Doormats",80,https://m.media-amazon.com/images/I/71+UiRVT9jL._AC_UY218_.jpg,listing_card,false,1,1,34,1,0,0.00,0.00,2.94,1,display_order,1,"WANDERPRINT Personalized Patriotic Welcome Mat – Custom Family Name 250th Anniversary USA Doormat, Eagle Non-Slip Indoor Outdoor Door Floor Mat, Fourth of July Rugs Decor (Style 12)","WANDERPRINT Personalized Patriotic Welcome Mat – Custom Family Name 250th Anniversary USA Doormat, Eagle Non-Slip Indoor Outdoor Door Floor Mat, Fourth of July Rugs Decor (Style 12)",listing_card,false,,,,,,,15.95,$15.95,3.5,7,3.5,,,no,https://www.amazon.com/WANDERPRINT-Personalized-Patriotic-Welcome-Mat/dp/B0H1LGDY94/ref=sr_1_1?dib=eyJ2IjoiMSJ9.M5pkWw4ieWYVD7B_AHguhAd1vY3zZYIVgVIV420N54XDVqQ1G-UnM7mg_xftBQhw7z_nqBGXpXKaqBUMOpaKsmJQT2miFEXdVkS-VRlyriAIwrDyB2HlEU_ctISJoJInhUY6dgISyQM9XGlqWk8cCUXaqjfQJbkFwudmTMGx3J39K41N1EjlsEI3kM--xBeMAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.OJDXFIwhdskYS9VnGc9T-ExWeX05kOLix6Dw4GP2pbk&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781605554&s=merchant-items&sr=1-1,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-16,2026-06-16T10:25:43+00:00,Lim Nature (WP),seller,Lim Nature (WP),A1JK5EDV3DM6K,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank,seller,Lim Nature (WP),1,B0CC5YSLDN,yes,unknown,120,"+70 custom/personalized/engraved: personalized, custom; +20 POD product type: poster, canvas; +30 quote/funny/text: quote, text; score=120; is_pod=yes; pod_type=unknown",Custom Canvas,,Custom Canvas,20,custom canvas,743878,Home & Kitchen,"#743,878 in Home & Kitchen; #14,045 in Posters & Prints",743878,Home & Kitchen,14045,Posters & Prints,"#743,878 in Home & Kitchen; #14,045 in Posters & Prints",40,https://m.media-amazon.com/images/I/61obORhWH5L._AC_UY218_.jpg,listing_card,false,2,2,34,8,6,75.00,6.00,5.88,2,display_order,2,"WANDERPRINT Custom Canvas Quote, Personalized Canvas Personalised Text, Personalized Poster Creative Typography Wall Art, Song Lyrics, Inspirational & Motivational Sayings On Wall Art","WANDERPRINT Custom Canvas Quote, Personalized Canvas Personalised Text, Personalized Poster Creative Typography Wall Art, Song Lyrics, Inspirational & Motivational Sayings On Wall Art",listing_card,false,,,,,,,12.95,$12.95,4.0,39,4.0,,,no,https://www.amazon.com/WANDERPRINT-Personalized-Personalised-Inspirational-Motivational/dp/B0CC5YSLDN/ref=sr_1_2?dib=eyJ2IjoiMSJ9.M5pkWw4ieWYVD7B_AHguhAd1vY3zZYIVgVIV420N54XDVqQ1G-UnM7mg_xftBQhw7z_nqBGXpXKaqBUMOpaKsmJQT2miFEXdVkS-VRlyriAIwrDyB2HlEU_ctISJoJInhUY6dgISyQM9XGlqWk8cCUXaqjfQJbkFwudmTMGx3J39K41N1EjlsEI3kM--xBeMAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.OJDXFIwhdskYS9VnGc9T-ExWeX05kOLix6Dw4GP2pbk&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781605554&s=merchant-items&sr=1-2,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-16,2026-06-16T10:25:43+00:00,Lim Nature (WP),seller,Lim Nature (WP),A1JK5EDV3DM6K,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank,seller,Lim Nature (WP),1,B0H2LLKGCK,yes,custom_doormat,155,"+105 custom/personalized/engraved: custom name, personalized, custom; +25 strong POD: name; +10 POD product type: doormat; +15 quote/funny/text: text; score=155; is_pod=yes; pod_type=custom_doormat",4th of July,Custom Doormat,4th of July;Custom Doormat;Anniversary;Family,95,fourth of july + usa,102997,"Patio, Lawn & Garden","#102,997 in Patio, Lawn & Garden; #787 in Outdoor Doormats",102997,"Patio, Lawn & Garden",787,Outdoor Doormats,"#102,997 in Patio, Lawn & Garden; #787 in Outdoor Doormats",80,https://m.media-amazon.com/images/I/71WrC4uHOFL._AC_UY218_.jpg,listing_card,false,3,3,34,2,-1,-50.00,-1.00,8.82,3,display_order,3,"Personalized Patriotic Welcome Mats – Custom Name 250th Anniversary USA Doormat for Family, Eagle Non Slip Indoor Outdoor Floor Carpet, Fourth of July Home Decor (Style 01)","Personalized Patriotic Welcome Mats – Custom Name 250th Anniversary USA Doormat for Family, Eagle Non Slip Indoor Outdoor Floor Carpet, Fourth of July Home Decor (Style 01)",listing_card,false,,,,,,,15.95,$15.95,2.9,4,2.9,,,no,https://www.amazon.com/Personalized-Patriotic-Welcome-Mats-Anniversary/dp/B0H2LLKGCK/ref=sr_1_3?dib=eyJ2IjoiMSJ9.M5pkWw4ieWYVD7B_AHguhAd1vY3zZYIVgVIV420N54XDVqQ1G-UnM7mg_xftBQhw7z_nqBGXpXKaqBUMOpaKsmJQT2miFEXdVkS-VRlyriAIwrDyB2HlEU_ctISJoJInhUY6dgISyQM9XGlqWk8cCUXaqjfQJbkFwudmTMGx3J39K41N1EjlsEI3kM--xBeMAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.OJDXFIwhdskYS9VnGc9T-ExWeX05kOLix6Dw4GP2pbk&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781605554&s=merchant-items&sr=1-3,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-16,2026-06-16T10:25:43+00:00,Lim Nature (WP),seller,Lim Nature (WP),A1JK5EDV3DM6K,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank,seller,Lim Nature (WP),1,B0FG7MPVC3,yes,engraved_gift,70,"+35 custom/personalized/engraved: custom; +20 POD product type: sign, plaque; +15 quote/funny/text: text; score=70; is_pod=yes; pod_type=engraved_gift",Memorial,Gardening,Memorial;Gardening,70,memorial + remembrance,,,,,,,,,,https://m.media-amazon.com/images/I/81U4w4O1iyL._AC_UY218_.jpg,listing_card,false,4,4,34,,,,,11.76,4,display_order,4,"Custom Memorial Tree Sign with Stake, In Loving Memory of Loved Ones Grave Marker, Memorial Plaques for Outdoors, Remembrance Plaque (Tree Memorial Garden Stake 4)","Custom Memorial Tree Sign with Stake, In Loving Memory of Loved Ones Grave Marker, Memorial Plaques for Outdoors, Remembrance Plaque (Tree Memorial Garden Stake 4)",listing_card,false,,,,,,,19.95,$19.95,4.5,10,4.5,,,no,https://www.amazon.com/Custom-Memorial-Plaques-Outdoors-Remembrance/dp/B0FG7MPVC3/ref=sr_1_4?dib=eyJ2IjoiMSJ9.M5pkWw4ieWYVD7B_AHguhAd1vY3zZYIVgVIV420N54XDVqQ1G-UnM7mg_xftBQhw7z_nqBGXpXKaqBUMOpaKsmJQT2miFEXdVkS-VRlyriAIwrDyB2HlEU_ctISJoJInhUY6dgISyQM9XGlqWk8cCUXaqjfQJbkFwudmTMGx3J39K41N1EjlsEI3kM--xBeMAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.OJDXFIwhdskYS9VnGc9T-ExWeX05kOLix6Dw4GP2pbk&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781605554&s=merchant-items&sr=1-4,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-16,2026-06-16T10:25:43+00:00,Lim Nature (WP),seller,Lim Nature (WP),A1JK5EDV3DM6K,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank,seller,Lim Nature (WP),1,B0GZT5LZ4Q,yes,unknown,135,"+70 custom/personalized/engraved: personalized, custom; +50 strong POD: photo, name; +15 quote/funny/text: text; score=135; is_pod=yes; pod_type=unknown",Anniversary,Wedding,Anniversary;Wedding;Couple,35,anniversary,,,,,,,,,,https://m.media-amazon.com/images/I/71HtB4a2-6L._AC_UY218_.jpg,listing_card,false,5,5,34,,,,,14.71,5,display_order,5,"Personalized Couple Flower Vase with Photo - Custom Wedding Vase with Name, Vintage Flower Vase for Home Decor, Anniversary & Newlywed Gift for Couple (Style 5)","Personalized Couple Flower Vase with Photo - Custom Wedding Vase with Name, Vintage Flower Vase for Home Decor, Anniversary & Newlywed Gift for Couple (Style 5)",listing_card,false,,,,,,,17.95,$17.95,,,,,,no,https://www.amazon.com/Personalized-Couple-Flower-Vase-Photo/dp/B0GZT5LZ4Q/ref=sr_1_5?dib=eyJ2IjoiMSJ9.M5pkWw4ieWYVD7B_AHguhAd1vY3zZYIVgVIV420N54XDVqQ1G-UnM7mg_xftBQhw7z_nqBGXpXKaqBUMOpaKsmJQT2miFEXdVkS-VRlyriAIwrDyB2HlEU_ctISJoJInhUY6dgISyQM9XGlqWk8cCUXaqjfQJbkFwudmTMGx3J39K41N1EjlsEI3kM--xBeMAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.OJDXFIwhdskYS9VnGc9T-ExWeX05kOLix6Dw4GP2pbk&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781605554&s=merchant-items&sr=1-5,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-16,2026-06-16T10:25:43+00:00,Lim Nature (WP),seller,Lim Nature (WP),A1JK5EDV3DM6K,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank,seller,Lim Nature (WP),1,B0FFN82P4N,yes,unknown,50,+35 custom/personalized/engraved: personalized; +15 quote/funny/text: text; score=50; is_pod=yes; pod_type=unknown,Reading,Birthday,Reading;Birthday,80,book + books,,,,,,,,,,https://m.media-amazon.com/images/I/61BytzwRI7L._AC_UY218_.jpg,listing_card,false,6,6,34,12,6,50.00,6.00,17.65,6,display_order,6,"Personalized Acrylic Book Shaped for Flowers – Customizable Acrylic Vase with Your Favorite Books Titles, Bookshelf Decor for Readers, Librarians, Birthday, (One More Chapter)","Personalized Acrylic Book Shaped for Flowers – Customizable Acrylic Vase with Your Favorite Books Titles, Bookshelf Decor for Readers, Librarians, Birthday, (One More Chapter)",listing_card,false,,,,,,,14.95,$14.95,4.6,14,4.6,,,no,https://www.amazon.com/Personalized-Acrylic-Book-Shaped-Flowers/dp/B0FFN82P4N/ref=sr_1_6?dib=eyJ2IjoiMSJ9.M5pkWw4ieWYVD7B_AHguhAd1vY3zZYIVgVIV420N54XDVqQ1G-UnM7mg_xftBQhw7z_nqBGXpXKaqBUMOpaKsmJQT2miFEXdVkS-VRlyriAIwrDyB2HlEU_ctISJoJInhUY6dgISyQM9XGlqWk8cCUXaqjfQJbkFwudmTMGx3J39K41N1EjlsEI3kM--xBeMAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.OJDXFIwhdskYS9VnGc9T-ExWeX05kOLix6Dw4GP2pbk&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781605554&s=merchant-items&sr=1-6,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-16,2026-06-16T10:25:43+00:00,Lim Nature (WP),seller,Lim Nature (WP),A1JK5EDV3DM6K,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank,seller,Lim Nature (WP),1,B0H2VZ8TWC,yes,custom_doormat,120,"+70 custom/personalized/engraved: personalized, custom; +25 strong POD: name; +10 POD product type: doormat; +15 quote/funny/text: text; score=120; is_pod=yes; pod_type=custom_doormat",Camping,Custom Doormat,Camping;Custom Doormat;Family,40,camping,,,,,,,,,,https://m.media-amazon.com/images/I/81iR5+w7+8L._AC_UY218_.jpg,listing_card,false,7,7,34,10,3,30.00,3.00,20.59,7,display_order,7,"Personalized Making Memories One Campsite at a Time Doormat, Custom Family Name Camping Door Mat Accessories for Inside Outside Campsite Decorations Travel Trailers Funny Gift Welcome (#1)","Personalized Making Memories One Campsite at a Time Doormat, Custom Family Name Camping Door Mat Accessories for Inside Outside Campsite Decorations Travel Trailers Funny Gift Welcome (#1)",listing_card,false,,,,,,,13.95,$13.95,,,,,,no,https://www.amazon.com/Personalized-Memories-Campsite-Accessories-Decorations/dp/B0H2VZ8TWC/ref=sr_1_7?dib=eyJ2IjoiMSJ9.M5pkWw4ieWYVD7B_AHguhAd1vY3zZYIVgVIV420N54XDVqQ1G-UnM7mg_xftBQhw7z_nqBGXpXKaqBUMOpaKsmJQT2miFEXdVkS-VRlyriAIwrDyB2HlEU_ctISJoJInhUY6dgISyQM9XGlqWk8cCUXaqjfQJbkFwudmTMGx3J39K41N1EjlsEI3kM--xBeMAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.OJDXFIwhdskYS9VnGc9T-ExWeX05kOLix6Dw4GP2pbk&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781605554&s=merchant-items&sr=1-7,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-16,2026-06-16T10:25:43+00:00,Lim Nature (WP),seller,Lim Nature (WP),A1JK5EDV3DM6K,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank,seller,Lim Nature (WP),1,B0CHNXCMD3,yes,engraved_gift,140,"+70 custom/personalized/engraved: personalized, custom; +25 strong POD: print; +30 POD product type: poster, canvas, sign; +15 quote/funny/text: text; score=140; is_pod=yes; pod_type=engraved_gift",Anniversary,Birthday,Anniversary;Birthday,35,anniversary,,,,,,,,,,https://m.media-amazon.com/images/I/71dP-AbsC7L._AC_UY218_.jpg,listing_card,false,8,8,34,24,16,66.67,16.00,23.53,8,display_order,8,"Custom Canvas Quotes, Print Line Art Text Poster Framed Wall Art Personalized Poem Calligraphy Canvas Sign Frame Letter Gift On Birthday, Anniversary Day","Custom Canvas Quotes, Print Line Art Text Poster Framed Wall Art Personalized Poem Calligraphy Canvas Sign Frame Letter Gift On Birthday, Anniversary Day",listing_card,false,,,,,,,12.95,$12.95,4.5,42,4.5,,,no,https://www.amazon.com/Custom-Personalized-Calligraphy-Birthday-Anniversary/dp/B0CHNXCMD3/ref=sr_1_8?dib=eyJ2IjoiMSJ9.M5pkWw4ieWYVD7B_AHguhAd1vY3zZYIVgVIV420N54XDVqQ1G-UnM7mg_xftBQhw7z_nqBGXpXKaqBUMOpaKsmJQT2miFEXdVkS-VRlyriAIwrDyB2HlEU_ctISJoJInhUY6dgISyQM9XGlqWk8cCUXaqjfQJbkFwudmTMGx3J39K41N1EjlsEI3kM--xBeMAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.OJDXFIwhdskYS9VnGc9T-ExWeX05kOLix6Dw4GP2pbk&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781605554&s=merchant-items&sr=1-8,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-16,2026-06-16T10:25:43+00:00,Lim Nature (WP),seller,Lim Nature (WP),A1JK5EDV3DM6K,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank,seller,Lim Nature (WP),1,B0CXP7B1BZ,yes,engraved_gift,165,"+70 custom/personalized/engraved: personalized, custom; +50 strong POD: print, name; +30 POD product type: poster, canvas, sign; +15 quote/funny/text: text; score=165; is_pod=yes; pod_type=engraved_gift",Valentine's Day,Anniversary,Valentine's Day;Anniversary;Christmas,60,valentines day,,,,,,,,,,https://m.media-amazon.com/images/I/811210k5X2L._AC_UY218_.jpg,listing_card,false,9,9,34,18,9,50.00,9.00,26.47,9,display_order,9,Personalized Road sign for Couples with Name and Special Date on Print Canvas Wall Art Custom street sign Poster Best valentines day gifts for her Christmas gifts for Married Couples Gifts Anniversary,Personalized Road sign for Couples with Name and Special Date on Print Canvas Wall Art Custom street sign Poster Best valentines day gifts for her Christmas gifts for Married Couples Gifts Anniversary,listing_card,false,,,,,,,12.95,$12.95,4.4,42,4.4,,,no,https://www.amazon.com/Personalized-Couples-valentines-Christmas-Anniversary/dp/B0CXP7B1BZ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.M5pkWw4ieWYVD7B_AHguhAd1vY3zZYIVgVIV420N54XDVqQ1G-UnM7mg_xftBQhw7z_nqBGXpXKaqBUMOpaKsmJQT2miFEXdVkS-VRlyriAIwrDyB2HlEU_ctISJoJInhUY6dgISyQM9XGlqWk8cCUXaqjfQJbkFwudmTMGx3J39K41N1EjlsEI3kM--xBeMAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.OJDXFIwhdskYS9VnGc9T-ExWeX05kOLix6Dw4GP2pbk&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781605554&s=merchant-items&sr=1-9,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
2026-06-16,2026-06-16T10:25:43+00:00,Lim Nature (WP),seller,Lim Nature (WP),A1JK5EDV3DM6K,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank,seller,Lim Nature (WP),1,B0FTLRD3MZ,yes,quote_mug,155,"+105 custom/personalized/engraved: custom name, personalized, custom; +25 strong POD: name; +10 POD product type: mug; +15 quote/funny/text: text; score=155; is_pod=yes; pod_type=quote_mug",Reading,Coffee,Reading;Coffee;Quote Mug;Christmas,80,book + books,,,,,,,,,,https://m.media-amazon.com/images/I/61Xon7aK4-L._AC_UY218_.jpg,listing_card,false,10,10,34,19,9,47.37,9.00,29.41,10,display_order,10,"Personalized Book Lover Mug – Custom Name Coffee Cup 11oz 15oz, Just a Girl Who Loves Books Design Gift for Women Readers, Christmas (Girl Book 04)","Personalized Book Lover Mug – Custom Name Coffee Cup 11oz 15oz, Just a Girl Who Loves Books Design Gift for Women Readers, Christmas (Girl Book 04)",listing_card,false,,,,,,,9.95,$9.95,5.0,2,5.0,,,no,https://www.amazon.com/Personalized-Book-Lover-Mug-Christmas/dp/B0FTLRD3MZ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.M5pkWw4ieWYVD7B_AHguhAd1vY3zZYIVgVIV420N54XDVqQ1G-UnM7mg_xftBQhw7z_nqBGXpXKaqBUMOpaKsmJQT2miFEXdVkS-VRlyriAIwrDyB2HlEU_ctISJoJInhUY6dgISyQM9XGlqWk8cCUXaqjfQJbkFwudmTMGx3J39K41N1EjlsEI3kM--xBeMAMPYRVFFBkxkYU-mPNSfxuh6Qc7NET7EEs609S2OTHw.OJDXFIwhdskYS9VnGc9T-ExWeX05kOLix6Dw4GP2pbk&dib_tag=se&m=A1JK5EDV3DM6K&marketplaceID=ATVPDKIKX0DER&nsdOptOutParam=true&qid=1781605554&s=merchant-items&sr=1-10,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank
