source_name,source_type,category,url,priority,active
Lim Nature (WP),seller,seller,https://www.amazon.com/s?i=merchant-items&me=A1JK5EDV3DM6K&s=exact-aware-popularity-rank&ds=v1%3AkcXuCeFAqqEArZv7jx%2BudMoqrxQhVK3zQGjamTpt6YM&marketplaceID=ATVPDKIKX0DER&qid=1778752536&ref=sr_st_exact-aware-popularity-rank,1,yes
Peties Store (WP),seller,seller,https://www.amazon.com/s?i=merchant-items&me=A143D6QWFZ303M&s=exact-aware-popularity-rank&ds=v1%3Ab8YKBOL8AtsS1IgQG6TsY8talfiTbUFBQGly9npIL1U&marketplaceID=ATVPDKIKX0DER&qid=1776045897&ref=sr_st_exact-aware-popularity-rank,1,yes
Pawfect House Gifts (PFH),seller,seller,https://www.amazon.com/s?i=merchant-items&me=AOZ4YNQPOAR1B&s=exact-aware-popularity-rank&ds=v1%3AC1u24%2FAHRVG6as5gShRu3N7oYXA6bjInWr2ktA3SD5k&marketplaceID=ATVPDKIKX0DER&qid=1776045996&ref=sr_st_exact-aware-popularity-rank,1,yes
MA Commerce (MC),seller,seller,https://www.amazon.com/s?i=merchant-items&me=A3IJKC1NDEWYPR&s=exact-aware-popularity-rank&ds=v1%3AkEwp4aFNK3lZTYLGu6qb2EXuf5d7aWkCpxwC3smOObM&marketplaceID=ATVPDKIKX0DER&qid=1776046069&ref=sr_st_exact-aware-popularity-rank,1,yes
ZuneArt (Warrior),seller,seller,https://www.amazon.com/s?i=merchant-items&me=A15T7O8I2EPBUZ&s=exact-aware-popularity-rank&ds=v1%3A31fy69i5WkDT%2BCKADsgzf0KJ5dDH21fVCGztsujN%2Fic&marketplaceID=ATVPDKIKX0DER&qid=1776046083&ref=sr_st_exact-aware-popularity-rank,1,yes
LASFOUR (Warrior),seller,seller,https://www.amazon.com/s?i=merchant-items&me=A1HHNBJES4IIQK&s=exact-aware-popularity-rank&ds=v1%3A5GI1qv47ulI6PjEg%2BMwJSl1ECFjNO6B6JQaZbR7In%2BE&marketplaceID=ATVPDKIKX0DER&qid=1776046094&ref=sr_st_exact-aware-popularity-rank,1,yes
DDK Trading,seller,seller,https://www.amazon.com/s?i=merchant-items&me=A3LCWSWGMXIKGW&s=exact-aware-popularity-rank&ds=v1%3AOssb3slwMGkeRk56DVAweI6zNMkmnR8sgoR42YLe28E&marketplaceID=ATVPDKIKX0DER&qid=1776148939&ref=sr_st_exact-aware-popularity-rank,1,yes
GoPod Shop,seller,seller,https://www.amazon.com/s?i=merchant-items&me=A28R89VR0HHNA3&s=exact-aware-popularity-rank&ds=v1%3AXlAxT7yXBaWckTueeBw9oCKaHz%2FRq2dEWLtSd1ZC5ks&marketplaceID=ATVPDKIKX0DER&qid=1776149674&ref=sr_st_exact-aware-popularity-rank,1,yes
LOVELY POD,seller,seller,https://www.amazon.com/s?i=merchant-items&me=A93U4ZXZ7ADFH&s=exact-aware-popularity-rank&ds=v1%3AIHIjZ627MnSOG8oEQHnwH4DFI469FqdkQ82v9YA%2BC0Q&marketplaceID=ATVPDKIKX0DER&qid=1776149698&ref=sr_st_exact-aware-popularity-rank,1,yes
NTK Trading,seller,seller,https://www.amazon.com/s?i=merchant-items&me=A2O16L260MUKK9&s=exact-aware-popularity-rank&ds=v1%3A88U2I9vmO9jwrlmCxhdtr3NBGqZLd03%2FJlRVu5nmaDU&marketplaceID=ATVPDKIKX0DER&qid=1776149723&ref=sr_st_exact-aware-popularity-rank,1,yes
